source,target,community_source,community_target
41,365,2,1
364,367,12,12
35,367,1,12
39,367,2,12
40,367,2,12
41,367,2,12
368,369,2,2
368,398,2,12
35,368,1,2
39,368,2,2
40,368,2,2
41,368,2,2
369,398,2,12
35,369,1,2
39,369,2,2
40,369,2,2
41,369,2,2
149,399,5,5
149,401,5,5
149,402,5,5
149,403,5,5
149,404,5,5
149,405,5,5
149,406,5,5
149,407,5,5
149,408,5,5
149,409,5,5
149,410,5,5
149,411,5,5
149,412,5,5
149,414,5,5
149,415,5,5
149,416,5,5
149,418,5,5
149,419,5,5
149,421,5,5
149,422,5,5
399,400,5,5
412,413,5,5
416,417,5,5
419,420,5,5
149,423,5,5
149,424,5,5
149,425,5,5
149,426,5,5
149,428,5,5
149,430,5,5
149,431,5,5
149,433,5,5
149,435,5,5
149,436,5,5
149,438,5,5
149,439,5,5
149,440,5,5
149,442,5,5
149,443,5,5
149,444,5,5
149,445,5,5
149,446,5,5
149,448,5,5
149,450,5,5
426,427,5,5
428,429,5,5
431,432,5,5
433,434,5,5
436,437,5,5
440,441,5,5
446,447,5,5
448,449,5,5
149,451,5,5
149,452,5,5
149,453,5,5
149,455,5,5
149,456,5,5
149,457,5,5
149,458,5,5
149,459,5,5
149,461,5,5
149,462,5,5
149,463,5,5
149,464,5,5
149,466,5,5
149,467,5,5
149,468,5,5
149,469,5,5
149,470,5,5
149,471,5,5
149,472,5,5
149,473,5,5
453,454,5,5
459,460,5,5
464,465,5,5
68,474,8,9
68,475,8,8
68,476,8,8
68,477,8,8
68,478,8,8
68,479,8,8
68,480,8,8
68,481,8,8
68,482,8,8
68,483,8,8
68,484,8,8
68,485,8,8
68,486,8,8
68,487,8,8
68,488,8,8
68,489,8,8
68,490,8,8
68,491,8,8
149,492,5,5
149,493,5,5
149,495,5,5
149,496,5,5
149,497,5,5
149,498,5,5
149,500,5,5
149,501,5,5
149,503,5,5
149,504,5,5
149,505,5,5
149,506,5,5
149,508,5,5
149,509,5,5
149,511,5,5
149,512,5,5
149,513,5,5
149,514,5,5
149,515,5,5
149,516,5,5
399,517,5,5
399,400,5,5
150,399,5,5
151,399,5,5
152,399,5,5
401,402,5,5
401,518,5,5
150,401,5,5
151,401,5,5
152,401,5,5
402,518,5,5
150,402,5,5
151,402,5,5
152,402,5,5
403,519,5,5
403,520,5,5
150,403,5,5
151,403,5,5
152,403,5,5
404,521,5,5
404,522,5,5
150,404,5,5
151,404,5,5
152,404,5,5
405,406,5,5
405,523,5,5
150,405,5,5
151,405,5,5
152,405,5,5
406,523,5,5
150,406,5,5
151,406,5,5
152,406,5,5
407,524,5,5
407,525,5,5
150,407,5,5
151,407,5,5
152,407,5,5
408,409,5,5
408,526,5,5
150,408,5,5
151,408,5,5
152,408,5,5
409,526,5,5
150,409,5,5
151,409,5,5
152,409,5,5
410,527,5,5
410,528,5,5
150,410,5,5
151,410,5,5
152,410,5,5
411,412,5,5
411,413,5,5
150,411,5,5
151,411,5,5
152,411,5,5
412,413,5,5
150,412,5,5
151,412,5,5
152,412,5,5
414,529,5,5
414,530,5,5
150,414,5,5
151,414,5,5
152,414,5,5
415,416,5,5
415,417,5,5
150,415,5,5
151,415,5,5
152,415,5,5
416,417,5,5
150,416,5,5
151,416,5,5
152,416,5,5
418,419,5,5
418,420,5,5
150,418,5,5
151,418,5,5
152,418,5,5
419,420,5,5
150,419,5,5
151,419,5,5
